Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,8.248,265.0,0.0,2185.72,0.0,261.0,2130.83,4.0,54.89,131.31,1999.52,88,0,0,0,0,0,0,0
,,,FOOD,,,,,10.975522388059701,134.0,0.5056603773584906,1470.72,0.6728766722178505,131.0,1424.33,3.0,46.39,115.06,1309.27,64,0.7272727272727273,0,0,0.5019157088122606,0,0,0.6547921501160279
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.62,38.0,0.2835820895522388,137.63,0.09358001523063533,38.0,137.63,0.0,0.00,2.70,134.93,23,0.359375,0,0.2900763358778626,0.14559386973180077,0,0.1030574289489563,0.06748119548691686
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.4799999999999995,5.0,0.13157894736842105,17.40,0.1264259245803967,5.0,17.40,0.0,0.00,2.70,14.70,5,0.21739130434782608,0.13157894736842105,0.03816793893129771,0.019157088122605363,0.10894537908545171,0.011227630664416049,0.0073517644234616306
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot cornetto,,3.4799999999999995,5.0,0.13157894736842105,17.40,0.1264259245803967,5.0,17.40,0.0,0.00,0.00,17.40,3,0.13043478260869565,0.13157894736842105,0.03816793893129771,0.019157088122605363,0.1289557548358408,0.013289848541553689,0.008702088501240298
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,8.0,0.21052631578947367,27.84,0.20228147932863474,8.0,27.84,0.0,0.00,0.00,27.84,8,0.34782608695652173,0.21052631578947367,0.061068702290076333,0.03065134099616858,0.20632920773734528,0.021263757666485906,0.013923341601984477
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.03,1.0,0.02631578947368421,6.03,0.043813122139068524,1.0,6.03,0.0,0.00,0.00,6.03,1,0.043478260869565216,0.02631578947368421,0.007633587786259542,0.0038314176245210726,0.04468983917586897,0.0046056199256074,0.0030157237737056895
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Conchiglia choc,,4.17,2.0,0.05263157894736842,8.34,0.060597253505776355,2.0,8.34,0.0,0.00,0.00,8.34,2,0.08695652173913043,0.05263157894736842,0.015267175572519083,0.007662835249042145,0.06180982731786852,0.006369961887158493,0.00417100104024966
