Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
33,4/5/2024 10:55,Zuppa al Pomodoro,,Aperitivo - Dinner,FOOD,11.13,1,FALSE,FALSE
49,4/5/2024 12:13,Vellutata,,Aperitivo - Dinner,FOOD,16.7,1,FALSE,FALSE
109,4/5/2024 16:47,Crostoni,,Aperitivo - Dinner,FOOD,5.57,0.5,FALSE,FALSE
114,4/5/2024 17:04,Genovese,,Aperitivo - Dinner,FOOD,21.33,1,FALSE,FALSE
104,4/5/2024 16:05,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,23.19,1,FALSE,FALSE
117,4/5/2024 17:21,Caprese VV,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
117,4/5/2024 17:21,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
117,4/5/2024 17:21,Lasagna,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
115,4/5/2024 17:17,Genovese,,Aperitivo - Dinner,FOOD,21.33,1,FALSE,FALSE
115,4/5/2024 17:17,Tuscan Ribollita,,Aperitivo - Dinner,FOOD,14.85,1,FALSE,FALSE
120,4/5/2024 17:37,Lasagna,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
116,4/5/2024 17:18,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
121,4/5/2024 17:37,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
121,4/5/2024 17:37,Zuppa al Pomodoro,,Aperitivo - Dinner,FOOD,11.13,1,FALSE,FALSE
135,4/5/2024 18:15,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,7.73,0.333333333,FALSE,FALSE
128,4/5/2024 17:57,Lasagna,,Aperitivo - Dinner,FOOD,15.73,1,FALSE,FALSE
128,4/5/2024 17:57,Genovese,,Aperitivo - Dinner,FOOD,14.95,1,FALSE,FALSE
124,4/5/2024 17:46,Genovese,,Aperitivo - Dinner,FOOD,21.33,1,FALSE,FALSE
110,4/5/2024 16:54,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,3.87,0.166666667,FALSE,FALSE
110,4/5/2024 16:54,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,3.87,0.166666667,FALSE,FALSE
135,4/5/2024 18:15,Caprese VV,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
132,4/5/2024 18:05,Full Tante Belle Cose,,Aperitivo - Dinner,FOOD,41.74,1,FALSE,FALSE
109,4/5/2024 16:47,Crostoni,,Aperitivo - Dinner,FOOD,5.57,0.5,FALSE,FALSE
137,4/5/2024 18:29,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,23.19,1,FALSE,FALSE
135,4/5/2024 18:15,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
138,4/5/2024 18:36,Half Tante Belle Cose,,Aperitivo - Dinner,FOOD,11.59,0.5,FALSE,FALSE
132,4/5/2024 18:05,Lasagna,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
132,4/5/2024 18:05,Zuppa al Pomodoro,,Aperitivo - Dinner,FOOD,11.13,1,FALSE,FALSE
132,4/5/2024 18:05,Tuscan Ribollita,,Aperitivo - Dinner,FOOD,14.85,1,FALSE,FALSE
132,4/5/2024 18:05,Vellutata,,Aperitivo - Dinner,FOOD,15.77,1,FALSE,FALSE
