Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Gross Price,Discount
6/7/24 8:06 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 8:06 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 8:06 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,4.55,1.0,false,6.50,1.95
6/7/24 8:10 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,6.50,0.00
6/7/24 8:10 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 8:11 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 8:11 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 8:16 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,8.50,2.0,false,8.50,0.00
6/7/24 8:16 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,12.98,2.0,false,12.98,0.00
6/7/24 8:16 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 8:11 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,9.28,0.00
6/7/24 8:34 AM,Cappuccino,,Espresso Bar,BEVERAGES,5.25,1.0,false,5.25,0.00
6/7/24 8:34 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 8:34 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 8:34 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 8:34 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 8:34 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 8:34 AM,treccia conchiglia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,7.89,2.0,false,7.89,0.00
6/7/24 8:34 AM,Pan Di Stelle,,,,6.50,1.0,false,6.50,0.00
6/7/24 8:43 AM,Mokaccino Ferrero Rocher,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 8:43 AM,Choc Muffin/Brownies/bars,,BAKERY DISPLAY,RETAIL,3.15,1.0,false,4.50,1.35
6/7/24 8:56 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,1.90,1.0,false,4.25,0.00
6/7/24 8:56 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,2.19,1.0,false,6.50,1.63
6/7/24 9:05 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 9:10 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:10 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 8:58 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 8:58 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,8.35,0.00
6/7/24 8:58 AM,Mulino Bianco Galletti,,MARKET,RETAIL,6.50,1.0,false,6.50,0.00
6/7/24 9:15 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 9:15 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 9:15 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.50,1.0,false,5.50,0.00
6/7/24 9:15 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,8.35,0.00
6/7/24 9:15 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 9:17 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:10 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,12.06,1.0,false,12.06,0.00
6/7/24 9:10 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,12.06,1.0,false,12.06,0.00
6/7/24 9:22 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,true,5.00,0.00
6/7/24 9:23 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 9:22 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:22 AM,treccia conchiglia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,3.94,0.00
6/7/24 9:33 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 9:35 AM,Americano,,Espresso Bar,BEVERAGES,8.50,2.0,false,8.50,0.00
6/7/24 9:35 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,13.91,1.0,false,13.91,0.00
6/7/24 9:35 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,14.85,1.0,false,14.85,0.00
6/7/24 9:36 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 9:36 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 9:38 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:38 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,6.50,0.00
6/7/24 9:41 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:41 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:41 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
6/7/24 9:41 AM,Hot Italian Tea,,Espresso Bar,BEVERAGES,2.50,1.0,false,2.50,0.00
6/7/24 9:39 AM,Lavazza Cold Brew Can,,Non-Alcoholic,BEVERAGES,7.50,1.0,false,7.50,0.00
6/7/24 9:39 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 9:39 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 9:42 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,10.20,0.00
6/7/24 9:42 AM,O SOLE MIO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 9:33 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 9:33 AM,RIGOLETTO,,Panini,FOOD,9.28,1.0,false,9.28,0.00
6/7/24 9:33 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,9.28,0.00
6/7/24 9:41 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,3.02,0.00
6/7/24 9:41 AM,treccia conchiglia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,3.94,0.00
6/7/24 9:43 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 9:43 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 9:41 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,10.20,0.00
6/7/24 9:41 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,13.91,1.0,false,13.91,0.00
6/7/24 9:41 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 9:50 AM,treccia conchiglia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,3.94,0.00
6/7/24 9:50 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 9:50 AM,Cappuccino,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 9:56 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 9:56 AM,Espresso doppio-double espresso,,Espresso Bar,BEVERAGES,3.50,1.0,false,3.50,0.00
6/7/24 9:56 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,3.02,0.00
6/7/24 9:56 AM,slice cake Fruit tart,,BAKERY DISPLAY,RETAIL,7.00,1.0,false,7.00,0.00
6/7/24 9:56 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,8.35,0.00
6/7/24 9:41 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
6/7/24 10:04 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
6/7/24 9:10 AM,Apricot\strawberry cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 10:12 AM,Americano,,Espresso Bar,BEVERAGES,9.00,2.0,false,9.00,0.00
6/7/24 10:16 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
6/7/24 10:16 AM,San Pellegrino glass bottle,,Non-Alcoholic,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 10:17 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
