Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/16/24 8:09 AM,Espresso Shakerato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
1,5/16/24 8:09 AM,Espresso Salentino Shakerato,,Espresso Bar,BEVERAGES,3.90,1.0,false,false
1,5/16/24 8:09 AM,San Pellegrino glass bottle,,Non-Alcoholic,BEVERAGES,3.75,1.0,false,false
1,5/16/24 8:09 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
1,5/16/24 8:09 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.50,1.0,false,false
3,5/16/24 8:12 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
3,5/16/24 8:12 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
4,5/16/24 8:16 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
4,5/16/24 8:16 AM,Espresso Macchiato,,Espresso Bar,BEVERAGES,3.25,1.0,false,false
5,5/16/24 8:17 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
5,5/16/24 8:17 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
6,5/16/24 8:18 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
7,5/16/24 8:22 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
8,5/16/24 8:24 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
8,5/16/24 8:24 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
8,5/16/24 8:24 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
8,5/16/24 8:24 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
8,5/16/24 8:24 AM,treccia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
9,5/16/24 8:25 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
9,5/16/24 8:25 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
9,5/16/24 8:25 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,false
10,5/16/24 8:27 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
11,5/16/24 8:33 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
11,5/16/24 8:33 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
12,5/16/24 8:34 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
13,5/16/24 8:38 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
